second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8,throughput_zookeeper_v3.4.8,cumulative_throughput_zookeeper_v3.4.8,avg_cpu_zookeeper_v3.4.8,avg_memory_mb_zookeeper_v3.4.8
0,1.853303,177,177,2.93,21.67,4.531189,57,57,8.33,56.90
1,1.863799,535,712,9.19,28.92,2.231000,448,505,14.62,69.73
2,1.957049,508,1220,14.41,33.25,2.040014,489,994,17.24,78.41
3,1.941315,512,1732,18.72,37.86,2.003444,499,1493,18.93,84.59
4,1.878307,530,2262,22.27,38.81,2.003888,499,1992,20.68,94.03
5,1.923964,517,2779,25.30,39.74,2.016916,495,2487,21.19,100.85
6,1.932714,515,3294,27.80,42.21,1.994299,501,2988,22.97,110.41
7,1.965371,506,3800,30.03,43.08,1.967790,508,3496,23.64,115.95
8,1.918680,518,4318,31.96,44.43,1.953994,511,4007,23.92,117.23
9,1.962187,507,4825,33.61,44.98,1.962628,509,4516,24.11,118.44
10,1.966936,506,5331,35.01,46.38,1.952300,512,5028,24.36,122.25
11,1.914038,520,5851,36.28,46.78,1.964146,509,5537,25.84,126.17
12,1.865014,534,6385,37.21,47.78,1.908389,523,6060,27.79,131.47
13,1.823608,545,6930,37.95,50.39,1.882134,531,6591,27.97,132.16
14,1.808007,551,7481,38.67,51.18,1.998328,500,7091,28.55,132.20
15,1.857920,535,8016,39.32,52.80,2.137698,468,7559,28.58,132.57
16,1.859940,535,8551,39.92,52.99,2.089065,478,8037,28.62,135.98
17,1.851254,538,9089,40.47,53.98,2.115323,472,8509,28.53,135.98
18,1.868446,532,9621,40.96,54.38,2.058138,486,8995,28.47,135.65
19,1.922561,519,10140,41.44,56.58,2.031156,492,9487,28.44,134.47
20,1.849918,539,10679,41.77,56.92,2.003518,499,9986,28.34,133.48
21,1.899038,525,11204,42.18,57.84,2.022689,494,10480,28.32,133.48
22,1.910608,522,11726,42.59,57.84,2.074239,481,10961,28.30,134.92
23,1.865727,534,12260,42.89,57.86,2.084261,479,11440,28.21,134.92
24,1.869385,533,12793,43.22,57.86,2.024086,494,11934,28.18,138.43
25,1.872418,532,13325,43.54,58.18,1.902841,525,12459,28.11,139.80
26,1.847675,540,13865,43.79,58.37,1.891143,529,12988,27.99,139.80
27,1.847915,539,14404,44.07,59.09,1.867428,535,13523,27.90,139.80
28,1.899075,525,14929,44.29,59.60,1.897830,526,14049,27.79,139.80
29,1.834890,542,15471,44.53,60.50,1.888242,529,14578,27.71,139.80
30,1.899090,524,15995,44.78,61.08,1.910991,523,15101,27.64,141.17
31,1.897803,525,16520,45.01,61.93,1.853294,539,15640,27.57,141.17
32,1.876927,530,17050,45.26,62.36,1.852494,539,16179,27.51,141.17
33,1.875912,530,17580,45.52,64.27,1.855400,539,16718,27.43,141.17
34,1.861846,535,18115,45.74,64.93,1.823873,548,17266,27.37,141.17
35,1.864930,533,18648,45.91,66.03,1.861373,536,17802,27.30,142.53
36,1.817091,547,19195,46.08,66.60,2.048159,488,18290,27.31,142.53
37,1.853489,537,19732,46.27,67.94,2.097540,476,18766,27.40,144.58
38,1.809518,550,20282,46.45,69.53,2.174211,460,19226,27.47,144.58
39,1.825080,545,20827,46.62,69.95,2.148618,465,19691,27.58,146.10
40,1.865996,534,21361,46.82,70.30,2.106769,474,20165,27.63,146.10
41,1.848139,538,21899,46.95,70.30,2.072935,482,20647,27.79,151.16
42,2.024135,492,22391,47.13,70.40,2.067005,484,21131,27.84,151.16
43,1.949222,510,22901,47.29,70.53,2.080135,480,21611,27.91,151.16
44,1.940968,513,23414,47.47,70.65,2.057765,486,22097,27.96,151.16
45,1.980890,503,23917,47.62,72.79,2.080868,480,22577,28.05,152.53
46,2.025796,491,24408,47.78,72.79,1.842492,542,23119,28.04,152.53
47,2.185345,456,24864,47.94,72.79,1.822917,548,23667,28.00,155.62
48,2.167301,459,25323,48.07,73.07,1.805206,554,24221,27.91,155.62
49,2.143105,465,25788,48.24,73.24,1.873769,533,24754,27.86,155.62
50,2.215432,449,26237,48.38,73.36,1.833006,545,25299,27.79,155.62
51,2.214624,449,26686,48.48,73.36,1.812615,551,25850,27.78,157.74
52,2.086057,477,27163,48.60,74.10,1.841533,543,26393,27.70,157.74
53,2.102188,474,27637,48.70,75.79,1.853146,539,26932,27.65,158.76
54,2.101177,473,28110,48.79,75.88,1.877560,532,27464,27.62,162.68
55,2.083666,478,28588,48.88,76.10,1.879438,532,27996,27.59,164.04
56,1.906351,522,29110,48.97,76.54,1.810721,552,28548,27.53,164.04
57,1.805804,551,29661,49.03,77.58,1.794462,556,29104,27.46,164.04
58,1.847305,539,30200,49.10,80.07,1.801316,555,29659,27.42,164.04
59,1.817722,546,30746,49.15,80.07,1.828512,547,30206,27.35,164.04
60,1.838546,540,31286,49.25,80.56,1.847958,540,30746,27.31,164.07
61,1.952925,511,31797,49.33,80.56,1.851656,540,31286,27.25,164.18
62,1.878463,530,32327,49.49,80.56,1.822405,548,31834,27.20,164.18
63,1.952183,510,32837,49.64,80.70,1.918256,520,32354,27.20,170.02
64,1.903260,523,33360,49.75,80.86,1.844768,542,32896,27.18,172.14
65,1.921695,517,33877,49.90,81.00,1.835723,545,33441,27.14,172.14
66,1.895207,524,34401,49.99,81.00,1.849798,540,33981,27.14,172.57
67,1.929337,515,34916,50.10,81.35,1.835083,544,34525,27.11,172.59
68,1.926503,516,35432,50.20,81.59,1.848761,541,35066,27.07,172.59
69,1.938844,513,35945,50.32,82.48,1.836044,544,35610,27.03,172.30
70,1.914798,520,36465,50.44,83.01,1.840564,543,36153,27.03,174.36
71,1.899406,524,36989,50.53,83.28,1.830415,546,36699,27.01,175.04
72,1.858765,535,37524,50.60,84.91,1.822651,548,37247,26.99,175.79
73,1.888635,527,38051,50.64,85.62,1.826027,547,37794,26.95,181.22
74,1.852804,537,38588,50.69,85.94,1.952022,512,38306,26.93,181.22
75,1.843099,536,39124,50.71,86.68,2.040302,490,38796,26.93,181.22
76,1.853323,539,39663,50.77,87.41,2.071821,482,39278,26.93,181.22
77,1.870982,532,40195,50.78,88.10,2.046415,488,39766,26.93,181.22
78,1.869090,532,40727,50.83,89.31,2.054211,487,40253,26.97,186.21
79,1.876625,531,41258,50.86,90.23,2.032341,492,40745,26.98,188.94
80,1.908275,523,41781,50.89,90.52,2.075241,481,41226,26.98,191.68
81,1.910075,522,42303,50.93,90.64,2.075872,481,41707,26.97,191.68
82,1.897209,525,42828,50.96,90.77,2.076592,482,42189,26.96,192.81
83,1.918244,520,43348,50.98,90.91,2.020324,494,42683,26.96,194.07
84,1.917706,519,43867,51.02,90.91,1.944953,514,43197,26.93,194.07
85,1.854339,538,44405,51.00,90.91,1.821475,549,43746,26.89,194.07
86,1.884960,529,44934,51.03,91.05,1.834405,545,44291,26.86,194.08
87,1.829218,545,45479,51.04,91.56,1.805007,553,44844,26.85,196.20
88,1.890724,527,46006,51.07,91.56,1.884024,530,45374,26.83,196.20
