2016-04-12 18:10:17.649745 I | etcdmain: etcd Version: 2.3.0+git
2016-04-12 18:10:17.649834 I | etcdmain: Git SHA: Not provided (use ./build instead of go build)
2016-04-12 18:10:17.649844 I | etcdmain: Go Version: go1.6
2016-04-12 18:10:17.649852 I | etcdmain: Go OS/Arch: linux/amd64
2016-04-12 18:10:17.649865 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-04-12 18:10:17.649950 I | etcdmain: listening for peers on http://10.240.0.13:2380
2016-04-12 18:10:17.649984 I | etcdmain: listening for client requests on 10.240.0.13:2379
2016-04-12 18:10:17.656003 I | etcdserver: name = etcd-1
2016-04-12 18:10:17.656030 I | etcdserver: data dir = /home/gyuho/data.etcd
2016-04-12 18:10:17.656038 I | etcdserver: member dir = /home/gyuho/data.etcd/member
2016-04-12 18:10:17.656044 I | etcdserver: heartbeat = 100ms
2016-04-12 18:10:17.656050 I | etcdserver: election = 1000ms
2016-04-12 18:10:17.656055 I | etcdserver: snapshot count = 10000
2016-04-12 18:10:17.656066 I | etcdserver: advertise client URLs = http://10.240.0.13:2379
2016-04-12 18:10:17.656073 I | etcdserver: initial advertise peer URLs = http://10.240.0.13:2380
2016-04-12 18:10:17.656088 I | etcdserver: initial cluster = etcd-1=http://10.240.0.13:2380,etcd-2=http://10.240.0.14:2380,etcd-3=http://10.240.0.15:2380
2016-04-12 18:10:17.660780 I | etcdserver: starting member cfc6e2e1de0e7922 in cluster 3c1022ef339089ca
2016-04-12 18:10:17.660850 I | raft: cfc6e2e1de0e7922 became follower at term 0
2016-04-12 18:10:17.660873 I | raft: newRaft cfc6e2e1de0e7922 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-04-12 18:10:17.660884 I | raft: cfc6e2e1de0e7922 became follower at term 1
2016-04-12 18:10:17.679384 I | etcdserver: starting server... [version: 2.3.0+git, cluster version: to_be_decided]
2016-04-12 18:10:17.680890 E | etcdmain: failed to notify systemd for readiness: No socket
2016-04-12 18:10:17.680905 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-04-12 18:10:17.680958 N | etcdserver: added member 1eb6406549e3d4e [http://10.240.0.15:2380] to cluster 3c1022ef339089ca
2016-04-12 18:10:17.681029 N | etcdmain: serving insecure client requests on 10.240.0.13:2379, this is strongly discouraged!
2016-04-12 18:10:17.681063 N | etcdserver: added local member cfc6e2e1de0e7922 [http://10.240.0.13:2380] to cluster 3c1022ef339089ca
2016-04-12 18:10:17.681137 N | etcdserver: added member f9e96ef8c0d0e08c [http://10.240.0.14:2380] to cluster 3c1022ef339089ca
2016-04-12 18:10:17.861315 I | raft: cfc6e2e1de0e7922 is starting a new election at term 1
2016-04-12 18:10:17.861426 I | raft: cfc6e2e1de0e7922 became candidate at term 2
2016-04-12 18:10:17.861435 I | raft: cfc6e2e1de0e7922 received vote from cfc6e2e1de0e7922 at term 2
2016-04-12 18:10:17.861448 I | raft: cfc6e2e1de0e7922 [logterm: 1, index: 3] sent vote request to f9e96ef8c0d0e08c at term 2
2016-04-12 18:10:17.861457 I | raft: cfc6e2e1de0e7922 [logterm: 1, index: 3] sent vote request to 1eb6406549e3d4e at term 2
2016-04-12 18:10:18.669983 I | rafthttp: the connection with f9e96ef8c0d0e08c became active
2016-04-12 18:10:19.161225 I | raft: cfc6e2e1de0e7922 is starting a new election at term 2
2016-04-12 18:10:19.161326 I | raft: cfc6e2e1de0e7922 became candidate at term 3
2016-04-12 18:10:19.161336 I | raft: cfc6e2e1de0e7922 received vote from cfc6e2e1de0e7922 at term 3
2016-04-12 18:10:19.161348 I | raft: cfc6e2e1de0e7922 [logterm: 1, index: 3] sent vote request to 1eb6406549e3d4e at term 3
2016-04-12 18:10:19.161358 I | raft: cfc6e2e1de0e7922 [logterm: 1, index: 3] sent vote request to f9e96ef8c0d0e08c at term 3
2016-04-12 18:10:19.165148 I | raft: cfc6e2e1de0e7922 received vote from f9e96ef8c0d0e08c at term 3
2016-04-12 18:10:19.165172 I | raft: cfc6e2e1de0e7922 [quorum:2] has received 2 votes and 0 vote rejections
2016-04-12 18:10:19.165200 I | raft: cfc6e2e1de0e7922 became leader at term 3
2016-04-12 18:10:19.165215 I | raft: raft.node: cfc6e2e1de0e7922 elected leader cfc6e2e1de0e7922 at term 3
2016-04-12 18:10:19.167768 W | etcdserver: failed to reach the peerURL(http://10.240.0.15:2380) of member 1eb6406549e3d4e (Get http://10.240.0.15:2380/version: dial tcp 10.240.0.15:2380: getsockopt: connection refused)
2016-04-12 18:10:19.167804 W | etcdserver: cannot get the version of member 1eb6406549e3d4e (Get http://10.240.0.15:2380/version: dial tcp 10.240.0.15:2380: getsockopt: connection refused)
2016-04-12 18:10:19.169062 I | etcdserver: setting up the initial cluster version to 2.2
2016-04-12 18:10:19.169208 I | etcdserver: published {Name:etcd-1 ClientURLs:[http://10.240.0.13:2379]} to cluster 3c1022ef339089ca
2016-04-12 18:10:19.170691 N | membership: set the initial cluster version to 2.2
2016-04-12 18:10:19.180714 I | v2http: enabled capabilities for version 2.2.0
2016-04-12 18:10:19.666216 I | rafthttp: the connection with 1eb6406549e3d4e became active
2016-04-12 18:10:23.171313 I | etcdserver: updating the cluster version from 2.2 to 2.3
2016-04-12 18:10:23.172772 N | membership: updated the cluster version from 2.2 to 2.3
2016-04-12 18:10:23.182235 I | v2http: enabled capabilities for version 2.3.0
2016-04-12 18:10:44.566922 I | etcdserver: start to snapshot (applied: 10001, lastsnap: 0)
2016-04-12 18:10:44.575083 I | etcdserver: saved snapshot at index 10001
2016-04-12 18:10:44.575464 I | etcdserver: compacted raft log at 5001
2016-04-12 18:11:03.268861 I | etcdserver: start to snapshot (applied: 20002, lastsnap: 10001)
2016-04-12 18:11:03.272695 I | etcdserver: saved snapshot at index 20002
2016-04-12 18:11:03.273011 I | etcdserver: compacted raft log at 15002
2016-04-12 18:11:23.347872 I | etcdserver: start to snapshot (applied: 30003, lastsnap: 20002)
2016-04-12 18:11:23.351768 I | etcdserver: saved snapshot at index 30003
