second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_v3.4.8_snapshot2,throughput_zookeeper_v3.4.8_snapshot2,cumulative_throughput_zookeeper_v3.4.8_snapshot2,avg_cpu_zookeeper_v3.4.8_snapshot2,avg_memory_mb_zookeeper_v3.4.8_snapshot2,avg_latency_ms_zookeeper_v3.4.8_snapshot3,throughput_zookeeper_v3.4.8_snapshot3,cumulative_throughput_zookeeper_v3.4.8_snapshot3,avg_cpu_zookeeper_v3.4.8_snapshot3,avg_memory_mb_zookeeper_v3.4.8_snapshot3
114,2.538641,393,54159,51.94,112.30,2.200036,454,53936,27.58,218.86,1.979056,504,56223,25.87,215.55
115,2.519830,395,54554,51.94,112.30,2.255072,443,54379,27.59,222.43,1.919033,522,56745,25.85,215.55
116,2.622773,377,54931,51.94,112.56,2.293638,436,54815,27.59,222.43,1.856494,538,57283,25.83,215.55
117,2.622320,382,55313,51.96,113.04,2.286341,437,55252,27.59,222.43,1.874984,533,57816,25.80,215.07
118,2.578305,387,55700,51.98,113.04,1.995316,501,55753,27.58,222.43,1.911015,523,58339,25.78,215.07
119,2.548417,391,56091,52.03,114.02,2.061283,484,56237,27.60,223.63,1.910232,522,58861,25.77,215.07
120,2.235997,445,56536,52.07,114.02,1.930978,517,56754,27.61,225.21,1.973339,507,59368,25.74,215.07
121,2.093052,476,57012,52.09,114.02,2.048964,488,57242,27.58,225.21,2.048072,488,59856,25.74,216.95
122,2.101016,474,57486,52.14,114.02,1.932724,517,57759,27.55,225.21,1.955462,510,60366,25.74,216.95
123,2.171095,459,57945,52.18,115.08,1.961006,510,58269,27.52,224.68,2.335145,429,60795,25.74,216.95
124,2.103410,473,58418,52.22,115.18,2.193129,455,58724,27.52,224.43,2.413733,414,61209,25.75,221.09
125,2.071210,481,58899,52.23,115.40,2.247043,445,59169,27.51,224.43,2.575293,388,61597,25.76,221.09
126,2.016759,493,59392,52.30,116.88,2.266331,441,59610,27.54,229.61,2.535756,394,61991,25.76,221.09
127,1.968893,506,59898,52.28,116.88,2.187244,457,60067,27.52,229.61,2.554243,390,62381,25.76,221.48
128,1.987615,501,60399,52.29,118.36,2.248654,444,60511,27.52,229.61,2.655048,377,62758,25.77,221.52
129,2.053788,484,60883,52.31,120.61,2.244441,445,60956,27.51,229.63,2.632292,380,63138,25.77,221.52
130,2.039250,489,61372,52.33,121.08,2.212287,452,61408,27.51,229.63,2.512960,398,63536,25.78,221.52
131,1.912140,521,61893,52.32,121.70,2.160387,462,61870,27.51,229.63,2.015960,495,64031,25.78,221.52
132,1.930792,516,62409,52.36,122.26,2.302995,434,62304,27.50,229.97,2.015030,497,64528,25.78,221.52
133,1.988571,500,62909,52.37,122.56,2.162813,462,62766,27.50,229.97,1.949741,512,65040,25.77,221.52
134,2.019889,493,63402,52.37,123.45,1.920176,521,63287,27.47,229.97,1.899717,526,65566,25.76,221.58
135,1.993105,499,63901,52.41,123.45,1.892528,528,63815,27.44,229.97,1.967132,508,66074,25.75,222.26
136,1.962346,508,64409,52.40,123.45,1.973041,506,64321,27.40,229.97,1.935159,517,66591,25.73,223.67
137,2.034381,489,64898,52.42,123.45,2.095933,476,64797,27.38,229.97,1.950207,512,67103,25.71,223.67
138,2.024494,491,65389,52.45,123.61,2.002856,499,65296,27.36,232.02,2.044738,489,67592,25.69,223.67
139,1.951266,511,65900,52.49,123.76,1.974649,506,65802,27.33,232.02,2.162489,462,68054,25.70,224.53
140,1.999940,498,66398,52.49,123.97,2.139792,467,66269,27.33,232.70,2.169186,460,68514,25.69,224.53
141,2.003022,497,66895,52.53,124.25,2.069103,483,66752,27.33,232.70,2.060559,485,68999,25.69,224.53
142,2.012054,494,67389,52.56,124.83,2.064227,484,67236,27.32,232.70,2.072182,482,69481,25.69,224.53
143,1.963803,508,67897,52.58,125.54,2.148747,465,67701,27.31,232.70,2.047666,488,69969,25.69,224.53
144,2.101623,474,68371,52.63,125.54,2.026239,492,68193,27.31,232.87,2.096175,477,70446,25.68,224.53
145,2.014320,494,68865,52.67,125.65,2.114516,473,68666,27.32,232.87,2.086347,479,70925,25.69,224.70
146,1.989583,501,69366,52.68,125.65,2.083093,480,69146,27.32,232.87,2.067137,483,71408,25.71,226.80
147,1.942144,514,69880,52.72,127.10,2.062098,484,69630,27.33,232.87,1.975248,506,71914,25.70,226.80
148,1.959902,509,70389,52.75,129.21,2.172287,459,70089,27.33,234.24,1.968939,508,72422,25.69,227.48
149,2.094253,476,70865,52.79,129.90,2.291774,437,70526,27.35,235.09,2.035566,491,72913,25.67,227.48
150,2.056465,485,71350,52.81,131.29,2.047148,488,71014,27.34,235.09,1.912680,522,73435,25.65,227.31
151,2.013451,495,71845,52.84,131.68,2.034485,491,71505,27.32,235.09,1.895984,527,73962,25.63,227.31
152,2.048453,487,72332,52.88,132.09,2.002605,499,72004,27.29,235.09,1.830118,546,74508,25.62,227.31
153,2.087913,477,72809,52.89,132.09,1.974725,506,72510,27.27,235.09,1.870254,535,75043,25.59,227.31
154,2.176595,458,73267,52.90,132.79,1.933276,517,73027,27.24,235.09,1.922458,519,75562,25.58,227.48
155,2.057581,485,73752,52.94,132.86,1.975011,506,73533,27.23,234.96,1.924226,520,76082,25.56,227.48
156,2.033243,489,74241,52.95,133.27,1.942943,514,74047,27.20,234.96,1.875124,532,76614,25.55,229.66
157,2.039280,489,74730,52.98,133.27,2.017719,495,74542,27.17,234.96,1.918403,520,77134,25.53,229.66
158,2.035066,488,75218,53.01,133.88,1.948712,513,75055,27.15,234.96,1.908090,524,77658,25.52,230.29
159,2.105145,474,75692,53.03,133.88,2.013434,496,75551,27.14,237.23,2.010855,497,78155,25.50,230.29
160,2.242775,444,76136,53.06,133.88,2.156860,463,76014,27.13,237.40,1.919367,521,78676,25.49,230.51
161,2.233720,446,76582,53.08,133.88,1.983884,504,76518,27.11,237.40,1.863126,537,79213,25.48,231.36
162,2.338193,426,77008,53.10,134.14,1.998782,500,77018,27.09,237.40,1.886549,529,79742,25.47,231.36
163,2.340310,424,77432,53.12,135.80,2.018633,494,77512,27.07,237.40,1.865954,536,80278,25.45,231.36
164,2.341851,427,77859,53.14,135.80,1.975785,506,78018,27.06,237.40,1.905425,524,80802,25.43,231.36
165,2.413181,413,78272,53.16,135.80,1.983388,504,78522,27.04,237.74,1.921075,520,81322,25.43,232.22
166,2.340883,426,78698,53.19,136.24,1.947019,513,79035,27.02,237.74,1.886099,530,81852,25.42,233.09
167,2.366961,420,79118,53.22,136.47,1.968827,508,79543,27.00,237.74,1.881720,531,82383,25.40,233.09
168,2.378483,420,79538,53.23,136.47,2.241607,446,79989,27.00,237.74,1.868172,535,82918,25.39,233.40
169,2.264099,440,79978,53.26,137.44,2.271363,440,80429,27.00,239.11,1.899349,526,83444,25.37,233.40
170,2.645219,376,80354,53.29,138.68,2.249649,444,80873,26.99,239.11,1.906765,524,83968,25.36,233.40
171,2.841083,351,80705,53.29,140.17,2.327991,429,81302,27.00,239.96,1.885637,530,84498,25.35,233.74
172,2.828542,353,81058,53.28,140.17,2.355390,424,81726,27.00,240.81,1.885226,530,85028,25.33,233.74
173,2.664056,373,81431,53.29,140.70,2.206636,453,82179,27.00,240.81,1.884977,530,85558,25.31,233.74
174,2.918343,343,81774,53.30,141.07,2.259653,442,82621,26.99,241.37,1.884451,530,86088,25.30,233.74
175,2.631805,374,82148,53.30,141.07,2.243523,446,83067,26.99,241.37,1.889513,529,86617,25.29,234.99
176,2.914230,346,82494,53.32,141.68,2.267093,441,83508,26.99,241.37,1.889521,529,87146,25.29,237.60
177,2.633353,378,82872,53.35,141.80,2.265022,440,83948,26.99,241.54,1.885200,530,87676,25.28,237.60
178,2.658559,376,83248,53.39,142.56,2.001545,500,84448,26.98,241.71,1.892857,527,88203,25.26,237.79
179,2.764435,360,83608,53.41,143.21,1.989903,502,84950,26.96,241.71,1.934527,517,88720,25.25,237.79
180,2.326972,428,84036,53.43,143.21,2.030050,492,85442,26.95,242.73,2.013981,496,89216,25.23,237.96
181,2.075390,480,84516,53.45,143.21,1.986581,503,85945,26.92,242.73,2.028075,493,89709,25.23,237.96
182,2.131715,467,84983,53.48,143.49,1.962401,509,86454,26.91,242.90,1.974172,506,90215,25.24,238.81
183,2.080197,479,85462,53.52,143.80,1.960597,510,86964,26.89,242.90,2.533647,394,90609,25.25,238.81
184,2.048820,486,85948,53.54,144.17,2.267911,440,87404,26.89,243.11,2.559175,391,91000,25.25,238.81
185,2.276571,437,86385,53.55,144.58,2.232605,447,87851,26.88,243.11,2.609903,383,91383,25.27,240.17
186,2.008495,496,86881,53.57,144.78,2.461876,407,88258,26.88,243.11,2.518629,397,91780,25.27,245.78
187,2.025149,492,87373,53.58,145.26,2.227740,448,88706,26.99,243.26,2.521080,396,92176,25.28,245.78
188,2.057349,484,87857,53.61,146.05,2.097859,476,89182,27.00,243.24,2.556556,391,92567,25.27,245.78
189,2.013953,494,88351,53.61,146.05,2.092584,478,89660,27.00,243.24,2.482197,403,92970,25.28,245.95
190,2.058685,483,88834,53.62,146.46,1.989633,502,90162,27.01,243.97,2.312078,432,93402,25.29,245.95
191,1.967417,506,89340,53.62,147.69,2.109096,474,90636,27.02,244.99,1.970696,507,93909,25.29,245.95
192,2.067655,482,89822,53.62,148.74,2.064459,483,91119,27.02,244.99,2.022271,494,94403,25.30,246.12
193,1.983337,502,90324,53.63,149.14,2.004131,499,91618,27.02,244.99,1.895962,527,94930,25.29,246.12
194,2.030022,490,90814,53.66,151.55,1.816928,550,92168,27.01,244.99,1.855618,539,95469,25.27,246.12
195,2.004075,498,91312,53.66,152.04,1.877523,532,92700,27.11,245.45,1.895014,527,95996,25.27,246.63
196,2.104521,473,91785,53.67,152.48,1.841013,543,93243,27.10,245.63,1.931321,517,96513,25.26,247.52
197,2.045975,487,92272,53.68,152.63,1.902638,525,93768,27.11,245.56,1.973801,507,97020,25.24,247.52
198,2.068641,482,92754,53.70,152.89,1.880371,531,94299,27.09,245.37,2.016707,495,97515,25.23,247.52
199,2.153489,462,93216,53.72,153.73,1.913698,522,94821,27.09,246.22,2.048948,488,98003,25.23,247.52
200,2.112822,472,93688,53.73,153.93,1.996373,501,95322,27.09,246.74,2.115901,472,98475,25.23,248.37
201,2.062168,482,94170,53.73,154.20,2.096406,476,95798,27.10,246.74,2.003972,498,98973,25.24,249.09
202,2.132154,467,94637,53.76,154.41,2.179575,459,96257,27.10,246.74,2.084498,480,99453,25.24,249.09
203,2.046524,486,95123,53.78,154.41,2.081057,480,96737,27.10,246.74,2.103611,474,99927,25.24,249.09
204,2.052683,486,95609,53.77,154.41,2.058726,485,97222,27.10,246.74,2.047390,489,100416,25.25,249.13
205,2.127211,469,96078,53.77,154.41,2.189607,456,97678,27.13,247.58,2.291911,436,100852,25.26,249.13
206,2.078087,479,96557,53.81,154.79,1.997657,501,98179,27.14,247.58,2.158439,463,101315,25.32,250.99
207,2.065106,482,97039,53.82,155.87,2.027646,492,98671,27.14,247.58,1.963441,508,101823,25.33,250.96
208,2.094575,476,97515,53.82,157.41,2.050974,488,99159,27.21,247.65,1.890623,529,102352,25.32,250.96
209,2.019500,493,98008,53.82,157.41,2.064863,484,99643,27.21,247.65,1.920229,521,102873,25.30,250.96
210,2.113842,471,98479,53.84,158.17,1.948112,512,100155,27.23,248.50,1.927316,518,103391,25.28,250.96
211,2.095081,476,98955,53.85,158.32,1.844043,542,100697,27.22,248.50,1.874705,533,103924,25.28,252.54
212,2.034778,490,99445,53.86,159.25,1.858191,538,101235,27.21,248.50,1.869717,534,104458,25.27,252.54
213,2.064145,484,99929,53.87,159.83,1.835948,544,101779,27.20,248.50,1.848754,541,104999,25.27,254.14
214,2.093534,476,100405,53.88,160.53,1.880264,531,102310,27.20,250.20,1.891760,528,105527,25.25,254.14
215,2.033440,489,100894,53.91,162.09,1.876341,532,102842,27.18,250.20,1.922461,520,106047,25.25,254.31
216,2.061180,484,101378,53.91,162.55,1.921210,521,103363,27.19,254.11,1.962585,509,106556,25.24,255.17
217,2.090130,477,101855,53.90,162.74,1.823202,548,103911,27.18,254.11,1.864064,536,107092,25.23,255.17
218,1.971931,504,102359,53.93,162.87,1.926016,518,104429,27.17,253.85,1.897224,527,107619,25.22,255.17
219,1.946887,512,102871,53.94,163.25,1.878393,532,104961,27.16,254.02,1.883730,530,108149,25.21,255.68
220,2.160955,461,103332,53.94,163.25,1.880106,532,105493,27.14,254.02,1.878233,532,108681,25.20,255.68
221,2.259900,440,103772,53.97,163.25,1.917161,521,106014,27.14,254.19,1.978002,505,109186,25.20,256.77
222,2.191306,455,104227,53.98,164.55,1.833632,545,106559,27.12,254.80,1.874627,533,109719,25.19,256.77
223,2.258068,441,104668,53.99,164.55,1.948141,513,107072,27.12,254.97,1.896939,527,110246,25.18,256.77
224,2.348954,424,105092,54.01,165.11,1.836136,544,107616,27.10,254.97,1.856940,538,110784,25.17,257.62
