second,avg_latency_ms_zk_v3.4.8,throughput_zk_v3.4.8,cumulative_throughput_zk_v3.4.8,avg_cpu_zk_v3.4.8,avg_memory_mb_zk_v3.4.8
0,17.950109,11615,11615,39.38,127.12
1,19.864463,43368,54983,80.11,227.28
2,20.755606,49906,104889,104.12,353.25
3,15.629246,66594,171483,127.99,490.32
4,14.374505,69152,240635,150.25,674.49
5,13.983969,70697,311332,170.54,715.33
6,13.678568,72606,383938,189.28,715.88
7,14.325936,69315,453253,203.92,720.47
8,14.159868,70177,523430,216.08,721.23
9,13.945409,70809,594239,226.19,717.31
10,14.949528,5520,,,
