second,avg_latency_ms_consul_v0.6.4,throughput_consul_v0.6.4,cumulative_throughput_consul_v0.6.4,avg_cpu_consul_v0.6.4,avg_memory_mb_consul_v0.6.4
0,108.154664,821,821,1.36,16.71
1,95.372774,10777,11598,31.99,41.81
2,92.297014,10676,22274,57.30,45.73
3,106.796488,9346,31620,75.40,53.74
4,121.027089,8281,39901,87.98,49.25
5,112.923682,8832,48733,99.96,57.16
6,116.452563,8448,57181,110.36,67.33
7,119.183053,8448,65629,118.49,56.26
8,118.355354,8448,74077,125.82,55.68
9,119.771046,8176,82253,132.11,64.24
10,117.920627,8719,90972,138.07,72.46
11,114.660185,8619,99591,143.33,81.96
12,111.712638,8915,108506,148.41,90.17
13,106.787030,9645,118151,153.40,99.00
14,97.771861,10249,128400,158.61,110.20
15,103.248742,9653,138053,163.16,65.12
16,101.483576,9845,147898,167.15,72.83
17,96.946222,10150,158048,171.31,82.75
18,99.566433,10149,168197,174.82,91.78
19,102.660345,9816,178013,178.11,103.26
20,100.197007,9923,187936,181.05,112.02
21,101.906452,9818,197754,183.92,122.63
22,100.874266,9884,207638,186.59,132.79
23,99.367040,10061,217699,188.95,139.81
24,96.307678,10442,228141,191.18,149.96
25,99.468086,10089,238230,193.24,162.14
26,100.132895,9952,248182,195.27,169.36
27,100.190126,9752,257934,197.21,179.44
28,95.105922,10490,268424,199.09,81.79
29,94.265830,10778,279202,201.17,92.45
30,98.733423,10062,289264,203.09,105.04
31,96.253816,10517,299781,204.69,113.93
32,100.244802,9838,309619,206.25,120.27
33,101.120596,9925,319544,207.38,127.78
34,97.281688,9859,329403,208.58,135.04
35,102.125449,10286,339689,209.72,147.62
36,96.804222,10022,349711,210.88,152.78
37,104.400738,9777,359488,211.92,163.41
38,95.492985,10499,369987,213.06,172.85
39,103.887513,9608,379595,213.89,179.43
40,100.887255,9870,389465,214.88,187.60
41,129.912071,7697,397162,214.89,193.76
42,112.069937,8865,406027,215.28,204.65
43,120.007927,8291,414318,215.70,212.24
44,113.724367,8796,423114,216.07,218.93
45,120.460666,8192,431306,216.23,224.30
46,125.144119,8201,439507,216.10,233.63
47,122.540619,7945,447452,216.23,239.26
48,118.690734,8626,456078,216.43,248.06
49,112.010378,8449,464527,216.79,254.29
50,116.959163,9018,473545,217.17,259.35
51,105.079065,9383,482928,217.75,269.83
52,108.397627,9343,492271,218.14,278.44
53,103.082301,9710,501981,218.79,284.33
54,103.843912,9632,511613,219.21,295.19
55,109.104672,9036,520649,219.62,80.85
56,104.396790,9749,530398,219.90,87.83
57,104.369571,9521,539919,220.11,92.93
58,98.997453,10105,550024,220.75,103.01
59,101.357374,9502,559526,221.39,113.27
60,107.416206,9642,569168,221.82,120.71
61,100.617072,9904,579072,222.20,129.66
62,100.397910,9748,588820,222.71,136.60
63,110.541987,9191,598011,223.00,145.17
64,158.099244,1989,,,
